content,score
"tolong bug nya diperbaiki waktu nonton video dan di minimize, mau di full screen tidak bisa, stuck di minimize saja! tidak bisa di usap keatas/kemanapun, dan hanya ada tanda X dan pause ATAU KEMBALIKAN TAMPILAN MINIMIZE SEPERTI AWAL SAJA LEBIH ENAK KARENA ADA JUDUL VIDEONYA!!!",1
"Sangat jelek, iklan semakin banyak dari iklan Web, iklan pop up, sembari orang2 pun bikin video beriklan juga. Tolong la iklannya di kurangi, setiap 3 menit nongol 2 iklan yg gabisa di skip 10/15 detik. Apakah youtube mau usernya pindah ke app lain kalo begini terus? Semoga jadi pertimbangan untuk mengurangi iklan pop up mu youtube.",1
"Kenapa youtube beberapa nonton video shorts orang luar malah secara otomatis ditranslate suara jadi bahasa indonesia, terus kuganti di ""Trek audio"" jadi bahasa asli malah eror, tidak diterapkan. alhasil sepanjang shorts yang ngomong Ai. gajelas, malah ga enak didengar. Saran, video shorts jangan dikasih trek audio. biarkan rasa originalnya.",3
"Optimasisasi buruk, banyak bug, tampilan bermasalah, sering error, suara alih bahasa sangat tidak perlu, lebih baik perbaiki bagaimana subtitle berjalan, sistem iklan tanpa regulasi yang jelas hilangkan fitur ai sound, buat jadi pilihan di setting daripada langsung aktif, sangat mengganggu",1
"saya ingin mengganti setingan default pemutaran video ke yg paling rendah ,tapi tidak bisa ..pilihan cuma ada, otomatis, kualitas tinggi dan penghemat data ..sya sudah coba pakai yg penghemat data ,tapi kualitas video yg di putar malah berada di atas 360p ..padhal sya ingin memutarnya di kualitas 144p atau 240p supaya kuota saya bisa lebih irit ..payah",1
"maaf banget yah kasih bintang rendah dulu. saya memang lagi berhenti pakai yt premium tapi tolong banget ini iklannya di kurangin. 1 video yang di nonton iklan bisa hampir sepuluh, padahal itu cumam dengarin lagu. stop suruh premium yah, saya sedang mencoba lihat seberapa menyebalkannya iklan di yt tapi gak gini juga kali. setiap 10 detik iklan, 20 detik iklan. kek apalah woi masa segtunya banget. segtunya banget pengen orang langganan yt premium sampai iklan gak ngotak gtu. Tolong diperbaiki",2
"fitur iklan yang baru sangat menggangu karna sering eror, pop up iklannya tidak bisa di apa apakan, harus keluar dari apk YouTube dan buka dari awal untuk menghilangkannya, tolong di fix setiap ada iklan skrg pop punya ganggu, apalagi kalo videonya kita perkecil iklannya malah ngikut udh gitu kalo mau nonton full screen masih ada tampilan iklannya,",3
"tapi masa g bisa di update..memang sih memori saya penuh,tetapi saya sudah berusaha,saya sudah menghapus 2 aplikasi yg penting..tetap saja tidak bisa,minusnya lagi kalau blum di-update YouTube nya tidak bisa dibuka,,memang sih harusnya ganti hp..tapi mana ada duit nya??💵😭jadi tolong bgt ya YouTube walaupun blum update tetap bisa di buka sajaa..soalnya aplikasi ini 1 1 nya hiburan ku ❤️🧚",5
"aplikasi yg sngat bagus, dapat mudah membantu kita untuk mencari tau sesuatu dan bnyak sekali vd konten yg menarik, namun Yt kemungkinan besar agk bermasalah dngn akses yg baru muncul sehingga membuat aplikasinya agk berat dlm mencari sesuatu, tetapi aplikasinya sngat luar biasa, menarik, dan membuat bebagai bnyak informasi yg bnyak di sukai oleh peminat, dapat memotivasi sya untuk membuat akn berbagai vd konten sya sndri, sya bangga bsah kenal dan dapat menggunakan aplikasi Yt tersebut thngks.",5
"apl nya bagus banget cuman saya suka mendapat bug,pas udah download vid saya mau melihat vid itu tiba tiba semua menu hilang dari mulai beranda cuman ada download doang dan itupun gak ada apa apa cuman ada tulisan""download"" sama setting yang gak bisa di pencet bahkan vid yang sudah saya download hilang tapi penyimpanan tetap sama,semoga aja bug nya segera di benerin.jujur buat aplikasinya udah bagus banget👍",5
"Aplikasi nya bagus sekali kita bisa melihat banyak konten kreator atau Youtuber yang menghibur,di sini mulai dari konten hiburan,edukasi segala nya ada namun sayang kadang aku masih mendapatkan bug salah satu bug nya saat saya akan mendownload video,saya tekan download tapi tidak muncul di download saya tekan berkali-kali baru mau video nya mendownload Maaf kalau katanya belibet",5
sebelum update video downloadan saya tidak muncul sama sekali hanya loading berjam jam tapi videonya tidak kunjung muncul . setelah update aplikasi video hasil downloadannya muncul namun hanya beberapa kali setelah itu kembali hanya loading saja tolong segera diperbaiki ya ..terimkasih,1
"Aplikasi nya sih bagus, cuman subtitle nya gajelas banget, Video cuman ada musik doang subtitle nya malah bilang ""Heat"" kadang 1 kali atau 2 kali, Emang dasar subtitle birahi. Mohon diperbaiki",4
"Tolong bisa tidak diperbaiki untuk bug, dimana semisalnya kita mengklik suatu video dan kita keluar dari video tersebut, ada bug yaitu tidak bisa mengklik kembali video yang ada di kanan bawah tersebut mohon untuk pihak youtube untuk diperbaiki.",1
"audio auto translate lu kek sampah, bahkan auto translate audio juga nggak bisa di ubah ke audio aslinya kadang, sering bug soal audionya bahasa yang di pakai terlalu baku, kaku, dan berulang. gua tau bahasa gua sendiri jadi ndak perlu di ulang-ulang.",1
"setiap mau ganti film layarnya jadi hitam di bagian kotak buat nonton, sudah di refresh berkali-kali, update juga udah, sinyal bagus, rilog jg udah tapi ttep aja begitu yg ada mlh suaranya sementara video nya hitam semua, tolong perbaiki lagi karena sangat mengganggu dan tidak nyaman.",3
"Ada bug yang sangat menyebalkan, ketika lagi nonton terus ada iklan, pas dipencet tombol skip iklannya malah ""nempel"" di video yang lagi di tonton. Gak bisa hilang, kaya video gif gitu. Pencet video lain pun masih sama aja, solusinya harus restart app nya. Tolong di perbaiki.",1
"saya berikan bintang 2 karena, fitur trek audio nya sangat mengaggu untuk di bagian short video, memang fitur ini sangat membantu bila ada yg tidak mengerti bahasa apa yg digunakan di video yg sedang ditonton nya, tapi ada beberapa yg mungkin sudah terbiasa dengan bahasa yg digunakan oleh creator tersebut tapi tiba"" bahasa nya diganti secara otomatis oleh fitur nya jadi agak terganggu, memang mudah untuk mengatur kembali ke audio asli, tapi ribet juga harus ganti audio setiap short video yg baru",2
"Apk ny sudah bagus kok ga sring ngebug, ngelag, layar putih... jadi saya rating 5 bintang yaa!!! saya sangat"" suka dengan apk YouTube! gda masalah sedikitpun. dn sy liat"" juga apk ini malah makin baguss kokk 👍🏻👍🏻 ,, ga kyk apk tiktok sii... yg sring ngebug dll ( mff oot ) yhh udhh sii sgitu doang masukan akuu... makasi ... 😓😓🙏🏻 tapii iklannya ni yg terlalu banyak, lgi enak' nnton malah iklan ... dev YouTube, tlg di perbaiki lagi yaa apk nya! dn ilangin iklannya makasi....",5
"akhir akhir ini youtube semakin buruk, bukannya diupgrade malah downgrade misal, sekarang pop up iklan ngganggu banget apalagi saat kita pause video, bukan cuma sekali tapi berkali kali itupun membuat kita gak sengaja kepencet, walaupun pake dns adguard tetap aja iklan iklan lain masih nongol, bahkan ada yang gak bisa di skip itupun iklannya ganda...",1
"kenapa YouTube akhir akhir ini sering nge crash patah patah dan tidak menanggapi. kronologinya saat saya mengunduh video itu lancar lancar saja tapi lama kelamaan kerasa itu kek frame drop patah patah yang berakhir tidak menanggapi, tapi unduhnya saya pilih otomatis ke kartu SD ga ke internal. Edit: ga ke kartu SD ga ke internal sama sama frame drop patah patah padahal 1 bulan lalu saat unduh aman aman saja!",3
"sudah update bukannya ada yg baru mlh rusak. saya udh pake yt dah lama, tpi baru kali ini saya merasa kecewa & setiap nnton video selalu tidak bisa memutar kembali ke 10 detik lalu saat di landscape & hanya bisa saat portrait scape. tolong perbaiki lagi, saya merasa tidak nyaman akan hal seperti ini.!!",2
"Sumpah makin kesini ko aneh bgt yt😭 kmrin² sering bgt kl abis iklan layarnya jd berwarna kayak ngeblank, skrng kl terlalu banyak tekan +10 tb² layar tampilan videonya jd menggelap gt walaupun gambarnya msh keliatan_- update lagi, KENAPAAA RESOLUSI VIDEO HANYA SAMPAI 480P?!?! PADAHAL GUE PKE WIFI, TIAP NAIK KE 1080P MALAH BALIK LAGI KE 480P!",1
"Fitur disulih suara otomatis yang sangat menganggu, bikin nonton tidak nyaman.!! setidaknya kalau mau ada fitur sulih suara jangan dibuat otomatis menganggu, dibuat bisa on/off jadi tidak menganggu kenyamanan pengguna.",1
"Bar navigasi bawah (Home, Shorts, Subscriptions, Library) hilang hanya saat saya login ke akun ini. Di akun lain, bar muncul normal. Sudah dicoba hapus cache, reinstall, dan cek mode eksperimen tapi tidak berhasil. Please segera di fix bug nya, karena di komunitas juga ada beberapa orang yang mengalami hal serupa.",1
"jujur sebenarnya ini aplikasinya udah bagus banget dan mau dikasih bintang 5 tapi sayang banyak banget bug nya bisa pulak itu video udah ku download udah bisa ditonton eh besoknya YouTube nya error dan semua video yang udah ter download malah balik lagi ke nol kan gak nyambung, ada lagi tiap kali aku nonton YouTube shorts nya aku bisa pulak kena bug audio nya nyala tapi gambar nya gak gerak gerak belum lagi itu sering terjadi kan jadinya gak enak nonton nya tolong perbaiki lagi semua bug nya",4
"suka tiba-tiba tertaut tv padahal belum pernah tertaut tv sama sekali setiap buka youtube selalu kaya gini jadi terganggu karena ada notif yang tiba tiba terhubung padahal belum pernah sama sekali, bahkan sedang tidak buka aplikasi nya suka ada notif tersambung ke tv padahal belum pernah, udah menggunakan banyak cara buat ngebatalin terhubung tetap aja terus terhubung, jadi tidak nyaman untuk menonton karena ini, jika memang bug mohon diperbaiki",1
"Bisa di hapus gak iklan yang mengambang di layar, ketika nonton karna menghalangi pandangan, jika di tekan pun langsung di arahkan ke playstore dan jika aplikasi di iklan sudah kita instal contohnya game langsung masuk game nya.",5
"semakin berkembang semakin tolol, tampilan video warna wrni, sering keluar sendiri,, padahal ram tidak penuh, terus kalo di buka apk nya suka langsung memutar reels secara otomatis padahal tidak di pencet.",2
saya sering mengalami ngebug contoh nya sekarang saya gak bisa masuk ke yubute nya jadi saya terpaksa uninstall baru install lagi berharap bisa ada juga yang lain saya pas mau download playlist ada vidio yang gak mau ke download jadi saya harap bug bug YouTube ini segera di perbaiki,2
"Aplikasi ini menawarkan akses untuk menikmati berbagai konten video secara gratis, tapi juga ada opsional untuk berlangganan konten eksklusif kreator. Sekarang juga ada fitur feed di mana kreator bisa memposting gambar dan teks, ada reels juga. Wah, gila ya, gak kerasa ternyata YouTube udah sejauh ini inovasinya. Semoga YouTube gak pernah mati ataupun kehilangan kualitasnya.",5
"saya lebih suka tampilan youtube yang dulu karna yang sekarang sama sekali tidak rapih short dan biasa jadi satu semua membuat nya terlihat super super berantakan dan ribet tolong di per simple dimana tidak semua orang suka youtube Short salah satu nya saya, saya sangat merasa terganggu dengan banyak nya tombol atas dan bawah dan bercampur nya short dan video biasa tolong di perbaiki",4
"makin turun kualitasnya,pas nonton video gambarnya pecah seperti pixel padahal itu resolusi 360p,mana ada bug pop up iklan yang kalo aku gak sengaja pindahin videonya malah jadi permanent pop up iklanya al hasil harus restart aplikasinya😡",1
"youtubenya suka nge-bug di setiap buka video berikutnya beberapa kali suka nge-bug. setiap di dalam video pasti mau klik apapun pasti nge-bug bahkan ada masih ada 5 ikon fitur seperti beranda, shorts, buat video, subscription, dan akun",3
"iklan makin banyak, dulu mode lanscap ga ada tuh iklan tab yg muncul di kanan. sedangkan sekarang bukannya cuma 1 kali, ini malah berkali kali ampe muak gua. lama lama pindah juga w ke youtube biru yg sama sekali ga ada iklannya. okelah klo iklan doang ini malah iklan tab, mana ngeganggu bgt lagi, pas serius seriusnya nonton.",1
"kenapa gak ditambahkan fitur pemutar mini mengambang di atas aplikasi lain, biar bisa nonton atau dengerin musik sambil buka aplikasi lain atau sambil bales chat WA dan juga bisa diputar dilatar belakang saat layar mati biar awet baterai dengerin musik atau bluetooth ke speaker aktif layar HP nya gak nyala terus",1
"salah satu aplikasi yang bagus banget untuk menonton berbagai macam video, mulai dari video untuk belajar, menonton film seru, maupun mendengarkan lagu, bisa juga mengupload video kita menggunakan akun gmail yang sudah terdaftar.",5
"tiba-tiba video nya semua warna hijau ga ada gambar, ga lama aku g bisa masuk YouTube bener bener nge bug trus waktu aku masuk eh malah keluar ada tulisan ini pula""YouTube sudah memulai beberapakali hapus riwayat untuk memudahkan""kesel sumpah",1
gw bingung kenapa nih bug ga di fix fix gw tiap percepat video atau gw mundurin videonya itu gabisa diklik tombol pausenya dan ini udh terjadi berulang kali bahkan setiap hari jdi fungsi tombol untuk maju ama mundurnya apa kalo gabisa dipake??????????? di fix secepet mungkin gw udh kesel setiap hari nonton video ngabisin waktu cmn buat ngeskip video pake double tap,1
"yt skrg anehh, massa gada pilihan menu di bagian bawah kayak menu, shorts, library,dll. tiba"" aja menu"" nya hilang udah di updte masi aja ga muncul. jd gmana mau nnton vidio"" yg di downld, disimpan, dll? tolong diperbaiki lagi lah",1
"yt mending ilangin fitur yg nanya melanjutkan menonton itu deh atau ga kasih opsi bisa di nyalain atau ga tanpa harus menjeda/hapus riwayat tontonan dulu, ini asli beneran ngeganggu banget, org lagi muter musik malah ke stop krna itu.🙂",4
"kenapa ya saat melihat reels di YouTube kalo misal lagi liat kuda lalu scrol kebawah lama2 yang keluar kelinci jadi kaya nggak satu tema atu judul harusnya kalo di search kucing ya reels nya keluar kucing semua jangan malah keluar topik, terus lagi banyak sekali video yang sudah di tonton di munculkan lagi di beranda kenapa tidak memunculkan topik atau video yang belum pemirsa liat",3
ini kenapa ya setelah update kok malah UI nya gaenak banget? kenapa gabisa ngecilin ukuran videonya? (bukan resolusi video) kenapa harus tap thumbnail lagi biar bisa gedein videonya??? parah sih ini.,2
tidak bisa menonton shorts walaupun internet lancar. shorts nya selalu nge stuck di thumbnail terus. harus di uninstall dulu biar bisa nonton shorts tapi nanti balik lagi bugnya. tolong diperbaiki ini mengganggu banget,1
"mode terbatas tidak bisa dimatikan, terlebih saya cuman pengen denger musik aja malah gak bisa karna mode terbatas nya aktif, apa apaan dah tolong di perbaiki minimal bisa di nonaktifkan mode terbatas nya.",2
"YouTube update ui nya malah makin sampah cuy, mau tap2 kekiri malah keteken channel-nya, mending versi lama, mini screennya juga lebih enakan dulu, judul di video YT short juga kalo kepanjangan malah kepotong, track audio juga sering ngebug, g bisa di ubah kebahasa aslinya, harus di restart dlu YT nya baru bisa ganti track audio",2
"ga jelas, aplikasinya sekarang auto nge-stretch ke full screen, jadi buat yang suka pakai home button jadi ga bisa maksimalin pemakaian aplikasinya kaya sebelumnya (ga bisa komen di shorts karna nge-strech tadi jadi ketutupan sama home button nya, gabisa pindah-pindah juga pas lagi nonton shorts), padahal setelan full screen mode nya udh dinonaktifkan secara manual dari hp nya, tapi tetep aja ga ngaruh",1
"kenapa sejak di update per tanggal 3 juni 2025, ketika iklan selesai video yang mau ditonton malah ga bisa di putar lagi, play button nya juga tidak berfungsi dan harus di keluarkan dulu/di klik video baru yang lain dulu baru bisa tapi hal ini akan kembali terulang setiap muncul iklan",2
"Tampilan menu youtube saya kok hilang? tolong dihapus pembaruan kayak gitu jelek!.. saya tidak bisa mengakses menu download, short, uploud.. saya hanya bisa mengakses beranda dan fitur ""search"" tolong perbaiki UI menu nya!",1
"kenapa setelah update, video youtube short menjadi panjang dan tombol komentar jadinya tertutup tombol navigasi, update yang mengecewakan 😢 edit: mana trek audionya di short video juga gak bisa di ganti ke bahasa aslinya kecewa banget dah youtube kok gini pas update",2
"untuk masalah sebelum nya masih ada kendala namun malah muncul masalah baru, saat saya membuka YouTube kenapa tiba tiba opsi beranda, shorts, subscription dan akun saya malah hilang? bro ayolah saya ingin ngecek playlist saya loh, masak saya harus menghapus data setiap kali bug ini muncul? apalagi sudah di hapus data masih tetap kek gini 😂 apalagi aku punya video yang udah ku download loh, hilang karena hal sepele ini 😂 makin rusak nih aplikasi, males lama lama gunain ni aplikasi 😂",1
"youtube lemot makin kesini makin kacau, hampir gak bisa di tonton video nya, iklan sama sponsor balapan, dan yg terjadi video gak bisa di tonton, tapi bagus juga , jadi anaku sudah menjauhi app ini, karena meresahkan banyak menghalalkan segala cara",1
Tolong untuk iklan jangan motong screen ketika lagi play video karena sangat mengganggu sekali. Better iklan full layar seperti biasa daripada motong layar ketika play video,1
"iklan pop-up nya makin aneh bukan sekedar nempel dibagian bawah video, tetapi sudah menginvasi layar sepanjang video sehingga menutupi video yg ditonton, tolong diperbaiki fitur yg mengganggu pengguna. saya kurang nyaman menontonnya. levih baik iklan seerti biasa saja yg bisa diskip.",2
"Di bagian mic untuk mencari lagu dengan cara dinyanyikan atau di gumamkan ntah kenapa tidak berhasil dan tidak sebagus yang dulu, yg dulu pas saya gumam kan berhasil dpt,tapi yg sekarang malah mendapat lagu random yang bahkan nadanya tidak sama, dan tambahan lagi, pdhl sinyal saya bagus tapi saat memutar vidio mlh berhenti2 kadang kok kek gitu ya?? Tolong segera di perbaiki!!",1
"Tiba-tiba ndak bisa download video yang biasanya.. Waktu pencet icon download yang muncul bayar premium.. Gimana sih youtube...??! Padahal udh banyak iklan ndak pernah ku komplain.. Tiba tiba ndak bisa mendownload video satupun.. Padahal banyak video"" mendidik untuk belajar.. Gimana klo misalnya habis paket..? Apa yang kita tonton? Tolong diperbaikilah.. Kenapa selesai update hilang downloadtan Icon di apk youtube..? Uninstall aja dah apanya.. Capek betul.. Kemarin"" ndak kayak gini..",1
"Pihak youtube tolong yaaa,,, untuk pengaturan subtitle saat mode full vertikal.. knpa letak subtitle ny dibawah layar video. Bukan didalam video. Kan lihat ny ga nyaman. Tolong diperbaiki, terimakasih..",5
"iklan nya bikin lemot !!! tiap ada iklan pasti buffer,setelah iklan lewat lancar video nya. ini aplikasi kebanyakan iklan yg bikin jadi berat pemutaran video nya !!! makin jelek kualitas you tube,seolah kita di paksa pake yg berbayar !!! pemaksaan !!!",1
"sangat bagus!!,tapi semoga bug nya gak nambah terus ya, soalnya ada beberapa bug di aplikasi ini, seperti nge crash di bagian short,dan kata komentar padahal tidak di batasi,tapi tidak bisa berkomentar, padahal saya sangat jarang ngomen kasar,jadi saya harap di perbaiki🙏✨✨",5
"Saya merasa tidak senang ketika miniplayer pada youtube dinonaktifkan, hanya karena konten tersebut dibuat untuk anak anak, serta membuat saya terganggu karena miniplayer berada di pojok kiri atas sehingga menghalangi atau menutupi sebagian kolom searching. Dan YouTube Premium juga menghalangi saya untuk mendownload video dengan resolusi tinggi secara offline, karena harus berbayar setiap bulan. Dan juga saya tidak suka audio suara diterjemahkan secara otomatis.",1
"Aplikasi terbaik untuk menonton berbagai konten. Mulai dari hiburan, tutorial, berita, sampai edukasi semuanya ada di YouTube. Ringan, mudah digunakan, dan terus update fitur. Terima kasih YouTube!",5
"youtube sekarang terlalu banyak iklan. lagi nonton baru beberapa menit tiba tiba iklan. padahal baru sebentar nonton malah iklan, tolong di perbaiki lagi jadi terganggu banget kalo lagi nonton tiba tiba iklan nya muncul. 🙏",3
"sengaja kasih bintang 5, kritik bug untuk perangkat saya Hyper OS redmi 12 YouTube saya saat masuk ke apk tuh blank putih dan udah update serta udah clear cache tapi sama masih bug. bug kedua: mau skip saat nonton lancescape tuh ga bisa klik-klik tapi potrait bisa aneh kan,bug gini ga dibenerin,emang produk barat ada bagusnya ada cacatnya uhhhh,",5
"youtube ngebug di 2 update-an terakhir, setiap habis di minimize (atau pop up screen) kalau buka short layarnya turun jadi nggak bisa lihat deskripsi, ternyata penyebabnya adalah saat opsi (home, short, subscription dll) itu turun untuk menampilkan mode full screen home, video short menjadi turun sehingga saya tidak dapat melihat deskripsi. tolong perbaiki tim youtube ini sangat mengganggu. buat apa langganan premium kalau banyak bugnya",1
"sekarang dikit-dikit iklan mulu, udh kyk tv aja nih, mnding nnton tv aja sekalian, kdang 1 video ytb bisa 5 iklan, terganggu banget sih ini, akhirnya premium, btw udah banyak bgt aplikasi prabayar kyk spotify, netflix, blm langganan lain-lain, boros banget nih tiap bulan harus keluarin biaya buat langganan & premium doang, blm lg biaya internet, kacau bat! bagi kita masyarakat dibawah.",1
"Fitur dubbing nya ganggu banget, gak bisa di ganti ke standar. Bikin suaranya jadi aneh banget. Mungkin banyak yang terbantu sama fitur ini, tapi kalo bisa jangan langsung auto dubbing dong:( gua mau nonton short jadi aneh suaranya kalo di dubbing, mana walaupun udah di ganti trek audio nya suaranya tetep dubbing. Harusnya ada setelan buat aktifkan auto dubbing atau gak nonaktifkan dubbing.",1
"banyak bug yang masih belum di perbaiki atau emang masa bodo? 1). bug dimana kalau lagi nonton video terus ada iklan, setelah selesai nonton iklan video yang kita nonton bakal framedrop fps nya. 2). kalau yang ini pas kita nonton short, dimana kalau kita scroll terus iklan muncul dan kita langsung scroll lagi tanpa liat lebih dari 3-5 detik, video short selanjutnya bakal stuck (loading permanen), bahkan keluar short nonton video lain pun tetep stuck. normal jika kita melakukan restart YouTube.",1
"kasih iklan di apk ini nggak cuma jangan sampai kayak di jadiin jendela lah. Masak iklannya sudah di skip malah jadi iklan jendela, itupun nggak ada tombol ""X"" juga pun. tolong developer perbaiki lagi apknya walupun iklan membantu kalian untuk mendapatkan keuntungan",3
"Youtube banyak bugnya: add playlist, pas lagi nulis tulisan selalu hilang. nggak bisa nonton di durasi 5 detik sebelumnya. Request: adakan fitur sort A to Z pada add playlist. adakan fitur blokir tulisan dan gambar secara detail, agar komentar spam AI bot tidak muncul.",3
"YouTube Shorts semakin banyak bug nya seperti video yang jadi ancur/ crash/ error padahal jaringan bagus, hp bagus, bug tampilan video kepotong, and now bug videonya ke zoom. Dan tolong saring lagi yang benar konten nya, pernah channel kakak saya ke hapus dengan alasan spam konten (padahal engga memang konsep nya mirip tapi beda setiap video), padahal sekarang banyak video Ai gaje, konten kurang pantas tapi target anak kecil/content farm, dan konten reuploader/copyright tapi dapet banyak view.",3
"entah ini bug atau memang hp yang error, tapi kalau memang benar ini bug.. beneran sangat mengganggu. setiap mau play video (entah itu shorts atau bukan) pasti cuman ada black screen di videonya, pas coba close app dulu, masih sama. coba sekali lagi, baru ada videonya. itu bikin kesal. juga, shorts itu kadang video nya ngga sesuai sama channel nya. pas scroll video ini, scroll lagi video yang sama tapi channel yang beda. mengganggu banget, tolong.",2
"wah parah sekali ini YouTube, setiap saya menonton video banyak sekali bug apalagi bug anomali layar, setiap nge-play pasti layar menjadi kesemutan, walaupun layar kesemutan itu kecil dan hanya beberapa detik tetapi sering kali terjadi, membuat penonton menjadi terganggu, dan terkadang juga video yang di pause tidak bisa di tekan, makin kesini malah merugikan pengguna, tolong bergerak cepat 🙏",1
"YouTube sekarang semakin di Update selain makin banyak iklan, makin banyak juga Bug nya, kaya abis klik skip iklan, tulisan skipnya ga ilang², trus pas mau reset videonya jadi blank semua (layar jadi hitam) harus di relog dulu apk nya baru normal lagi. Please lah ilangin Bug² kaya gitu, jgn cuma update iklan aja yg dibanyakin 🥲",2
"sebelumnya youtube short bisa menampilkan semua video yang telah kita upload,tapi kenapa sekarang malah dibuat (terbaru,populer,terlama) trus jadi ilang video yang sudah kita upload,ya walaupun bisa di klik di video anda namun itu agak sedikit merepotkan kembalikan video short seperti sebelumnya yang bisa scroll video kita sendiri sampai yang terlama tanpa pernah lu di pisah².",2
"Yth.. sudah lama sy langganan yoetube premium.. ,seharunya tdk ada iklan skrg mulai tgl 22 Maret 2025 kok iklannya banyak padahal pembayaran langganan tetap terpotong melalui pulsa.., lalu saya update premium lagi kena potongan langganan lagi tapi iklan masih banyak dan tanda premium tidak ada !!! Mohon perbaikan dan berarti dlm bulan ini saya bayar double .. gimana bsa demikian... ??? hrs gimana gitu ??? Udh 3 kali registrasi premium dlm sebulan uang tdk kembali...!!! iklan makin banyak pula !!",1
"Susah sekali! Di penelusuran kayak kita mau cari video itu pas di shorts..scroll terus malah berubah topik video,tidak sesuai dengan yang kita cari. . Jadi nya harus putar balik video ku harap dengan begini bisa di perbaiki karna sangat tidak nyaman memakainya sekian terima kasih,🙏",3
